,origin,destination,Origin_city,Destination_city,Fly_date,year,month,name_x,origin_latitude,origin_longitude,name_y,destination_latitude,destination_longitude
217305,ORD,PIT,"Chicago, IL","Pittsburgh, PA",1994-03-01,1994,3,Chicago O'Hare International Airport,41.9786,-87.9048,Pittsburgh International Airport,40.49150085,-80.23290253
2490148,AUS,LBB,"Austin, TX","Lubbock, TX",1999-07-01,1999,7,Austin Bergstrom International Airport,30.197535,-97.662015,Lubbock Preston Smith International Airport,33.663601,-101.822998
1354150,TPA,ATL,"Tampa, FL","Atlanta, GA",1996-05-01,1996,5,Tampa International Airport,27.975500106811523,-82.533203125,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101
3095018,DCA,DAY,"Washington, DC","Dayton, OH",1997-09-01,1997,9,Ronald Reagan Washington National Airport,38.8521,-77.037697,James M Cox Dayton International Airport,39.902401,-84.219398
1286141,BOS,ATL,"Boston, MA","Atlanta, GA",2002-10-01,2002,10,Logan International Airport,42.3643,-71.005203,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101
851418,DCA,DTW,"Washington, DC","Detroit, MI",2004-01-01,2004,1,Ronald Reagan Washington National Airport,38.8521,-77.037697,Detroit Metropolitan Wayne County Airport,42.212398529052734,-83.35340118408203
1771789,PDX,SMF,"Portland, OR","Sacramento, CA",2004-03-01,2004,3,Portland International Airport,45.58869934,-122.5979996,Sacramento International Airport,38.69540023803711,-121.59100341796876
1686925,DCA,JFK,"Washington, DC","New York, NY",2004-07-01,2004,7,Ronald Reagan Washington National Airport,38.8521,-77.037697,John F Kennedy International Airport,40.639447,-73.779317
1914709,LAS,AUS,"Las Vegas, NV","Austin, TX",2003-08-01,2003,8,Harry Reid International Airport,36.083361,-115.151817,Austin Bergstrom International Airport,30.197535,-97.662015
1224979,BUF,MSP,"Buffalo, NY","Minneapolis, MN",2007-07-01,2007,7,Buffalo Niagara International Airport,42.94049835,-78.73220062,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,44.882,-93.221802
2712052,ORD,SEA,"Chicago, IL","Seattle, WA",2006-11-01,2006,11,Chicago O'Hare International Airport,41.9786,-87.9048,Seattle–Tacoma International Airport,47.449162,-122.311134
1984203,ABQ,HOU,"Albuquerque, NM","Houston, TX",1991-08-01,1991,8,Albuquerque International Sunport,35.040199,-106.609001,William P Hobby Airport,29.645399,-95.2789
