,0,1,2
481,SFO_9,ORD_10,DCA_11
482,DFW_5,LGA_6,MIA_7
483,BOS_2,EWR_3,BOS_4
484,IAD_9,PHL_10,BOS_11
485,ORD_4,DFW_5,DCA_6
486,SFO_10,STL_11,MIA_12
487,MSP_9,ATL_10,SFO_11
488,DFW_9,LAS_10,STL_11
489,PHX_7,LAS_8,ATL_9
490,LGA_7,BOS_8,DCA_9
491,CLT_3,LGA_4,IAD_5
492,LAX_7,BOS_8,DCA_9
493,CLT_1,IAH_2,DCA_3
494,STL_8,IAH_9,ORD_10
495,SEA_6,MSP_7,LAX_8
496,MEM_10,SFO_11,SLC_12
497,ATL_1,CLT_2,STL_3
498,DCA_8,ORD_9,BOS_10
499,MCO_6,BOS_7,LAX_8
500,ATL_10,MCO_11,EWR_12
501,EWR_9,BOS_10,LGA_11
502,PHL_6,ORD_7,DTW_8
503,ATL_9,DCA_10,CVG_11
504,LAX_7,ORD_8,IAD_9
505,DFW_7,PHX_8,ORD_9
506,MCO_10,CVG_11,MSP_12
507,MSP_3,ORD_4,MSP_5
508,MIA_7,LGA_8,MSP_9
509,STL_1,MSP_2,MEM_3
510,STL_3,MSP_4,STL_5
511,IND_6,DCA_7,PIT_8
512,LAX_8,EWR_9,MIA_10
513,IAD_7,LAX_8,SEA_9
514,PHX_1,SEA_2,MSP_3
515,IAD_3,CLE_4,BOS_5
516,JFK_8,LAX_9,MCO_10
517,EWR_3,BOS_4,DCA_5
518,MIA_8,ATL_9,LGA_10
519,TPA_7,ATL_8,MCO_9
520,LAX_8,SFO_9,DFW_10
521,EWR_8,CVG_9,EWR_10
522,PHL_9,DFW_10,BWI_11
523,BWI_6,ORD_7,LAX_8
524,ATL_3,DFW_4,LGA_5
525,LAX_9,LAS_10,ORD_11
526,IAD_10,DFW_11,MIA_12
527,LGA_9,STL_10,LAX_11
528,ATL_6,STL_7,BWI_8
529,DCA_4,ATL_5,DFW_6
530,DTW_4,EWR_5,CLT_6
531,MIA_3,BOS_4,CVG_5
532,MSP_8,EWR_9,ORD_10
533,MSP_2,PHX_3,LAX_4
534,SEA_3,MEM_4,CVG_5
535,PHL_3,MCO_4,DCA_5
536,ORD_6,DCA_7,ATL_8
537,SFO_6,STL_7,MCO_8
538,CVG_2,ATL_3,DTW_4
539,IAH_3,MSP_4,MEM_5
540,EWR_8,PIT_9,BWI_10
541,MIA_6,MCO_7,PHL_8
542,DFW_8,DTW_9,LAS_10
543,JFK_3,LAX_4,JFK_5
544,DFW_5,SFO_6,LAX_7
545,DFW_8,PHX_9,STL_10
546,MIA_1,MEM_2,LGA_3
547,MSP_3,ORD_4,IND_5
548,BOS_8,ATL_9,DTW_10
549,PHX_7,IAH_8,BWI_9
550,DFW_8,BOS_9,ORD_10
551,TPA_8,MCO_9,IND_10
552,LAX_4,JFK_5,MSP_6
553,DFW_9,ATL_10,ORD_11
554,LAS_4,SLC_5,SFO_6
555,SEA_8,ORD_9,LAS_10
556,STL_7,IND_8,SFO_9
557,SEA_7,STL_8,ATL_9
558,PHX_4,ORD_5,LGA_6
559,DTW_8,PHX_9,ATL_10
560,ATL_2,ORD_3,LAX_4
561,STL_8,JFK_9,SFO_10
562,EWR_4,ATL_5,LGA_6
563,MIA_3,ATL_4,MCO_5
564,LAX_7,SFO_8,LAX_9
565,SFO_6,EWR_7,ATL_8
566,STL_7,ORD_8,MIA_9
567,EWR_7,DCA_8,IND_9
568,DTW_7,ORD_8,SLC_9
569,MCO_5,ATL_6,MCO_7
570,SFO_6,LAX_7,SLC_8
571,MIA_6,EWR_7,MSP_8
572,PHL_8,SFO_9,ATL_10
573,MSP_9,SFO_10,ORD_11
574,LAS_9,DFW_10,MSP_11
575,IAH_2,BWI_3,PHX_4
576,ATL_8,MIA_9,LGA_10
577,ATL_1,LGA_2,DTW_3
578,BOS_1,PHL_2,SFO_3
579,BOS_5,LGA_6,MIA_7
580,MSP_8,ORD_9,BWI_10
581,SFO_7,DTW_8,MEM_9
582,ATL_8,DCA_9,ATL_10
583,LAX_6,ATL_7,TPA_8
584,PHL_7,ORD_8,EWR_9
585,DFW_9,SEA_10,LAX_11
586,CVG_10,ORD_11,STL_12
587,DFW_1,LAS_2,BWI_3
588,MEM_2,MSP_3,MEM_4
589,LAS_10,PHX_11,BOS_12
590,LGA_5,ATL_6,PHX_7
591,ATL_9,LAX_10,SFO_11
592,PHX_3,MSP_4,PHX_5
593,BOS_1,STL_2,PHX_3
594,STL_1,LAX_2,ATL_3
595,PIT_2,EWR_3,ATL_4
596,STL_5,ATL_6,CLT_7
597,LAX_9,DFW_10,STL_11
598,DCA_8,JFK_9,LAX_10
599,CLT_8,BOS_9,LAX_10
600,CLE_4,EWR_5,ORD_6
601,DFW_4,ATL_5,SFO_6
602,ATL_2,MCO_3,EWR_4
603,ATL_8,SFO_9,MSP_10
604,DFW_9,PHX_10,EWR_11
