origin,destination,count,color
AEX_88,SHV_89,16,red
AEX_92,SHV_93,31,red
AEX_94,SHV_95,1,red
AEX_99,SHV_100,2,red
AEX_109,SHV_110,15,red
BTR_10,SHV_11,1003,red
BTR_11,SHV_12,1144,red
BTR_12,SHV_13,1108,red
BTR_13,SHV_14,929,red
BTR_14,SHV_15,1110,red
BTR_15,SHV_16,959,red
BTR_16,SHV_17,1041,red
BTR_17,SHV_18,1317,red
BTR_18,SHV_19,1186,red
BTR_19,SHV_20,1306,red
BTR_20,SHV_21,1221,red
BTR_21,SHV_22,1038,red
BTR_22,SHV_23,1207,red
BTR_23,SHV_24,1333,red
BTR_24,SHV_25,1575,red
BTR_25,SHV_26,1090,red
BTR_26,SHV_27,1277,red
BTR_27,SHV_28,1489,red
BTR_28,SHV_29,1316,red
BTR_29,SHV_30,1522,red
BTR_30,SHV_31,1988,red
BTR_31,SHV_32,2294,red
BTR_32,SHV_33,1968,red
BTR_33,SHV_34,1302,red
BTR_34,SHV_35,1313,red
BTR_35,SHV_36,1372,red
BTR_36,SHV_37,1650,red
BTR_37,SHV_38,1121,red
BTR_38,SHV_39,896,red
BTR_39,SHV_40,1090,red
BTR_40,SHV_41,92,red
BTR_62,SHV_63,17,red
BTR_63,SHV_64,34,red
BTR_67,SHV_68,93,red
BTR_68,SHV_69,122,red
BTR_69,SHV_70,86,red
BTR_70,SHV_71,122,red
BTR_71,SHV_72,92,red
BTR_72,SHV_73,68,red
BTR_73,SHV_74,92,red
BTR_74,SHV_75,32,red
BTR_80,SHV_81,94,red
BTR_92,SHV_93,105,red
BTR_96,SHV_97,68,red
BTR_114,SHV_115,32,red
COS_80,SHV_81,117,blue
COS_82,SHV_83,107,blue
COS_86,SHV_87,114,blue
COS_115,SHV_116,131,blue
ESF_78,SHV_79,8,red
GJT_25,SHV_26,119,blue
LCH_79,SHV_80,13,red
LCH_93,SHV_94,40,red
LFT_73,SHV_74,2,red
LFT_104,SHV_105,29,red
LFT_113,SHV_114,4,red
LFT_119,SHV_120,8,red
MLU_1,SHV_2,2519,red
MLU_2,SHV_3,2241,red
MLU_3,SHV_4,2693,red
MLU_4,SHV_5,2599,red
MLU_5,SHV_6,2861,red
MLU_6,SHV_7,3252,red
MLU_7,SHV_8,3758,red
MLU_8,SHV_9,3451,red
MLU_9,SHV_10,2582,red
MLU_10,SHV_11,2613,red
MLU_11,SHV_12,2507,red
MLU_12,SHV_13,3213,red
MLU_13,SHV_14,2480,red
MLU_14,SHV_15,2307,red
MLU_15,SHV_16,2777,red
MLU_16,SHV_17,2653,red
MLU_17,SHV_18,3167,red
MLU_18,SHV_19,3670,red
MLU_19,SHV_20,4104,red
MLU_20,SHV_21,3714,red
MLU_21,SHV_22,2748,red
MLU_22,SHV_23,3036,red
MLU_23,SHV_24,2854,red
MLU_24,SHV_25,3289,red
MLU_25,SHV_26,2592,red
MLU_26,SHV_27,2248,red
MLU_27,SHV_28,2947,red
MLU_28,SHV_29,2541,red
MLU_29,SHV_30,3289,red
MLU_30,SHV_31,3984,red
MLU_31,SHV_32,4046,red
MLU_32,SHV_33,4062,red
MLU_33,SHV_34,3159,red
MLU_34,SHV_35,3425,red
MLU_35,SHV_36,3064,red
MLU_36,SHV_37,3345,red
MLU_37,SHV_38,2572,red
MLU_38,SHV_39,2417,red
MLU_39,SHV_40,3254,red
MLU_40,SHV_41,3000,red
